Exited,Tenure,NumOfProducts,Age,EstimatedSalary
1,2,1,42,101348.88
0,1,1,41,112542.58
1,8,3,42,113931.57
0,1,2,39,93826.63
0,2,1,43,79084.1
1,8,2,44,149756.71
0,7,2,50,10062.8
1,4,4,29,119346.88
0,4,2,44,74940.5
0,2,1,27,71725.73
0,6,2,31,80181.12
0,3,2,24,76390.01
0,10,2,34,26260.98
0,5,2,25,190857.79
0,7,2,35,65951.65
0,3,2,45,64327.26
1,1,1,58,5097.67
0,9,2,24,14406.41
0,6,1,45,158684.81
0,6,2,24,54724.03
0,8,2,41,170886.17
0,8,2,32,138555.46
1,4,1,38,118913.53
0,3,2,46,8487.75
0,5,1,38,187616.16
0,3,2,25,124508.29
0,2,1,36,170041.95
0,9,2,44,38433.35
0,3,1,43,100187.43
0,0,2,29,53483.21
1,3,3,39,140469.38
0,7,1,36,156731.91
0,9,2,41,81898.81
0,6,2,42,34410.55
0,9,2,29,142033.07
1,0,1,45,27822.99
0,3,1,31,114066.77
0,7,1,33,98453.45
0,7,1,36,40812.9
0,6,2,41,178074.04
0,4,1,40,70154.22
1,8,1,51,181297.65
0,2,1,61,94153.83
1,2,1,49,194365.76
0,5,1,61,158338.39
0,4,2,32,126517.46
1,9,1,27,119708.21
1,9,1,39,117622.8
0,2,1,38,90878.13
0,2,2,37,194099.12
0,10,2,44,198059.16
0,5,2,36,86424.57
0,5,2,33,116978.19
1,8,1,41,164040.94
1,1,1,42,40014.76
0,1,1,43,113410.49
0,5,1,45,87107.57
0,0,1,19,45613.75
1,4,1,66,-93561
0,4,1,51,46775.28
0,5,1,35,84509.57
0,9,2,27,126494.82
0,1,2,33,178798.13
0,8,1,56,99398.36
0,4,1,26,92840.67
0,6,2,36,27758.36
0,1,1,34,110431.51
0,10,2,43,196673.28
0,5,2,35,113656.85
0,8,1,21,18203
1,2,4,58,28373.86
0,6,1,29,33953.87
0,0,1,37,44203.55
0,5,2,25,58426.81
0,9,2,36,145562.4
0,1,2,21,22388
0,8,2,55,139161.64
0,9,1,32,148210.64
0,5,1,33,194239.63
0,10,2,41,98301.61
0,1,2,34,171413.66
1,2,1,32,136458.19
0,3,2,36,26019.59
0,4,1,34,159235.29
0,4,2,46,1907.66
0,10,2,75,114675.75
1,3,1,22,128643.35
0,9,2,30,151869.35
1,4,3,46,93251.42
0,3,2,28,156791.36
1,5,3,44,174205.22
0,7,2,45,147132.46
0,10,2,36,109614.57
0,8,2,29,172290.61
0,4,2,42,85982.47
0,10,1,35,121277.78
0,9,1,41,64595.25
0,8,2,29,197276.13
0,8,2,22,99645.04
0,9,2,34,6534.18
0,6,1,40,161848.03
0,6,2,44,167162.43
0,9,1,31,41970.72
0,7,2,36,60536.56
1,1,1,65,177655.68
1,4,2,46,30984.59
0,1,1,32,10054.53
0,2,1,36,36976.52
0,5,1,33,71862.79
1,9,1,35,99449.86
0,3,1,30,63082.88
0,7,2,39,27231.26
0,2,1,42,86797.41
0,9,1,36,22994.32
1,9,2,28,101300.94
0,9,2,30,74169.13
0,6,1,37,115638.29
0,1,2,41,31766.3
1,8,1,31,199725.39
0,4,2,34,120834.48
0,8,2,34,38131.77
0,6,1,39,100130.95
0,6,2,39,141069.88
0,10,1,48,198129.36
0,3,1,28,183646.41
1,9,1,42,110265.24
1,1,1,52,2460396
1,0,1,56,46824.08
0,7,2,41,171378.77
0,9,1,24,167256.35
0,3,2,34,124226.16
0,9,1,33,114935.21
0,9,1,38,35608.88
0,1,2,25,16459.37
0,7,2,39,124411.08
0,5,2,50,34941.23
0,5,1,34,167784.28
0,2,1,40,93165.34
1,2,1,48,75161.25
1,1,2,35,8590.83
0,10,1,44,189543.9
0,7,2,34,180427.24
0,5,1,43,193318.33
1,2,1,52,159123.82
1,5,1,31,126213.84
0,5,1,21,54141.5
0,8,2,29,141075.51
0,5,1,37,24495.03
0,9,1,44,74836.34
0,0,2,32,878.87
0,7,2,32,89520.75
1,9,1,48,149892.79
0,8,2,42,180800.42
0,2,1,37,98646.22
0,6,2,43,109041.53
1,7,1,57,17941.16
0,7,2,33,82996.47
0,2,2,28,92067.35
0,6,1,73,104719.66
0,4,1,33,112687.57
0,6,1,22,84699.56
0,2,2,30,83473.82
0,7,1,49,47125.11
0,2,2,36,106977.8
1,0,1,29,55582.54
0,9,2,31,139874.43
1,7,1,24,162503.48
0,9,1,41,196499.96
1,2,2,39,40721.24
0,9,2,24,53134.3
0,4,1,29,164017.89
0,5,2,27,155996.96
1,10,1,44,1304830
0,4,1,30,112187.11
0,5,2,40,146457.83
0,7,1,35,27286.1
0,0,2,30,130553.47
0,5,2,36,179351.89
0,8,1,40,94774.12
1,3,1,55,8080.85
0,2,1,45,19482.5
0,2,2,65,48071.61
0,1,2,45,174531.27
0,2,2,42,55470.78
1,4,1,50,8546.87
0,8,2,32,95857.18
0,1,1,39,194945.8
0,0,1,37,131521.72
0,5,2,30,196108.51
0,7,2,34,148564.76
1,8,2,41,92982.61
0,3,2,36,17675.36
0,1,2,40,114996.43
0,8,1,32,86957.42
0,9,2,29,128077.8
0,3,1,35,600.36
0,6,2,32,43001.46
0,3,1,37,158591.12
0,10,2,57,47847.19
0,6,1,35,10488.44
0,2,1,30,1489492
0,4,1,42,121409.06
1,5,1,50,146145.93
1,2,2,38,14374.86
0,3,1,33,94670.77
0,3,1,37,179670.31
1,3,1,41,199304.74
0,5,1,34,151954.39
1,5,1,45,142513.5
0,2,1,45,158264.62
0,2,2,33,169381.9
0,8,2,31,169915.02
0,9,2,41,88852.47
0,1,1,34,40645.81
0,4,2,26,60427.3
1,7,1,47,157959.02
0,7,1,46,133007.34
0,9,2,33,176576.62
1,1,2,43,34888.04
1,8,1,54,28737.71
0,9,2,31,98178.57
0,7,1,30,125010.24
0,2,2,42,167984.61
1,10,1,33,4861.72
1,6,1,45,108872.45
0,4,2,37,198252.88
0,9,2,30,26960.31
1,6,3,39,85746.52
1,2,1,50,77206.25
0,3,1,29,61048.53
0,1,2,72,111981.19
0,0,2,40,62232.6
0,1,2,37,156105.03
0,3,2,20,150135.38
0,5,2,67,93146.11
1,6,1,42,33462.94
0,2,1,29,144375
1,3,3,43,55803.96
1,2,3,46,89048.46
0,2,2,28,162812.16
0,4,2,38,136259.65
0,5,1,39,124052.97
0,8,2,37,74158.8
1,6,1,67,45071.09
0,7,2,34,62030.06
1,10,1,40,131953.23
0,7,2,26,79414
0,1,2,26,199638.56
0,8,1,24,157577.29
1,8,1,54,134420.75
0,5,1,36,99805.99
0,1,2,34,97932.68
0,0,2,79,170968.99
0,2,1,37,57558.95
0,8,1,28,176713.47
0,0,2,41,34283.23
0,10,2,34,198637.34
0,6,2,34,156917.12
0,6,1,30,50457.2
0,3,1,38,140075.55
0,9,2,42,65323.11
0,6,1,48,64323.24
0,6,2,32,14956.44
0,0,1,26,111879.21
0,9,1,31,18606.23
0,9,1,36,123137.01
0,2,2,34,148528.24
0,7,2,36,13898.31
1,7,1,39,81259.25
0,7,1,35,161051.75
0,9,2,41,191599.67
1,3,3,34,48559.19
0,1,2,34,186339.74
0,8,2,30,33159.37
0,4,1,28,93883.53
0,7,2,37,110899.3
1,3,1,62,11199.04
0,10,2,53,189992.97
0,6,1,35,164255.69
1,1,1,46,152167.79
0,8,2,39,33949.67
0,10,2,29,68143.93
1,4,1,35,47251.79
0,7,1,42,25885.72
0,8,2,22,192633.85
0,7,2,40,34577.36
0,5,1,29,161229.84
0,8,1,32,100816.29
0,5,1,26,181694.44
0,10,2,34,79078.91
0,9,1,42,137316.32
0,5,2,41,194926.86
0,7,2,27,51285.49
1,9,1,34,150401.53
0,3,2,38,112491.96
0,2,1,25,73656.38
0,4,1,31,106636.89
1,7,3,44,155853.52
0,0,1,58,162599.51
0,5,2,33,103737.82
0,10,2,31,160990.27
0,6,1,36,15462.84
0,8,2,35,10334.05
0,6,2,33,190686.16
0,4,1,33,94440.45
0,1,1,31,28257.63
1,2,1,43,170034.95
0,7,2,35,31824.29
1,4,1,50,127166.49
0,8,1,31,44937.01
0,4,2,80,188603.07
0,6,1,30,145111.37
0,3,2,38,171463.83
0,0,1,59,182822.5
0,2,1,36,87213.33
0,3,2,37,57175.32
1,2,1,49,120540.83
0,9,2,42,28714.34
0,3,1,22,85426.28
0,4,1,24,46170.75
0,2,1,57,64448.36
0,8,1,30,16278.97
1,1,1,40,182855.42
0,4,2,31,50404.72
0,3,2,30,107640.25
0,4,1,35,134132.65
0,2,2,35,103480.69
1,9,1,46,108761.05
0,1,1,35,179012.3
0,7,2,26,95145.14
0,7,2,50,72143.44
0,1,1,40,19162.89
0,2,2,44,144680.18
1,8,1,30,177772.03
0,6,1,37,5597.94
1,7,1,29,116828.51
0,3,2,32,174652.51
0,2,2,33,2010.98
1,5,1,39,14109.85
1,10,1,39,43527.4
1,6,2,40,86099.23
0,4,1,31,161574.19
0,5,2,47,38970.14
0,8,2,22,127587.22
0,7,2,25,30380.12
0,7,2,43,90908.95
0,9,2,34,138275.01
0,3,1,59,32171.79
0,1,1,32,126143.23
0,5,2,39,129892.93
0,3,2,32,102416.84
0,2,1,39,18719.67
0,7,1,32,61936.22
0,6,2,25,78358.94
0,1,2,45,147224.27
0,0,2,30,160979.66
0,8,2,57,132298.49
1,9,1,34,174248.52
0,1,1,41,123547.28
0,3,2,58,32790.02
0,3,2,28,181543.67
1,2,1,45,2319.96
0,9,1,50,189543.19
0,9,2,29,10940.4
0,9,2,68,199493.38
0,3,1,33,188193.25
0,9,2,42,172572.64
0,8,2,35,189339.6
0,2,2,34,53512.16
0,2,1,29,34004.44
0,4,1,42,10598.29
0,1,2,75,113428.77
0,0,2,31,183487.98
0,1,1,31,187658.09
0,7,2,35,172459.39
0,8,1,39,21016
1,10,3,45,122381.02
0,4,1,35,128123.66
0,2,1,30,19570.63
1,2,3,39,188150.6
0,9,2,50,111020.24
0,7,2,36,123775.15
0,10,2,30,146700.22
0,8,2,28,145251.35
0,3,1,44,82463.69
0,9,1,66,15928.49
0,6,2,46,45886.33
0,2,2,62,186489.95
0,2,2,45,162922.65
0,10,2,21,9262.77
0,7,1,29,84932.4
0,3,1,38,71557.12
1,9,2,46,77405.95
1,8,2,38,417.41
0,0,1,24,71405.17
0,2,2,37,153400.24
0,3,1,33,371.05
0,8,1,32,67789.99
0,9,2,39,145894.9
1,1,1,66,183840.51
0,1,1,52,108887.44
0,4,1,38,154071.27
0,8,2,52,179291.85
0,6,2,36,56937.43
0,8,2,23,112239.03
0,9,1,36,45909.87
1,9,1,49,173779.25
0,4,2,37,125696.26
0,10,2,37,159585.61
0,3,1,41,106761.47
0,10,2,23,129590.18
0,1,2,38,80006.65
0,3,1,31,140451.52
1,9,3,41,187929.43
0,8,2,35,167155.36
0,8,2,26,191420.71
1,5,1,61,11384.45
0,9,1,39,94898.1
0,6,2,46,106781.59
0,6,2,28,159508.52
1,3,1,60,93524.19
0,2,2,38,87168.46
1,7,1,40,8128.32
0,4,1,35,125518.32
0,9,1,39,48963.59
0,9,1,26,98368.24
0,10,2,39,148584.61
0,0,1,45,27474.81
0,9,1,40,76192.21
1,1,1,40,134600.94
1,3,1,57,72467.99
0,2,2,41,199645.45
0,0,1,33,42749.85
1,8,1,37,136050.44
0,8,1,33,73564.44
0,3,1,51,85578.63
0,4,2,30,129826.89
0,10,2,35,119666
0,2,2,38,68052.08
0,3,1,42,164104.74
0,3,1,35,80190.36
0,9,2,31,84126.75
0,7,2,34,70179
0,2,1,46,118024.1
1,3,1,47,145704.19
0,1,1,26,183049.41
0,2,1,37,120906.83
0,4,1,40,100433.83
1,6,1,38,138777
0,6,2,47,124694.99
0,7,1,38,40084.32
0,9,2,40,119232.33
0,7,1,31,43921.36
0,3,1,44,62222.81
0,6,1,39,56577
0,5,2,36,164253.35
0,3,1,33,7666.73
0,3,2,38,68487.51
1,1,1,43,199273.98
0,8,1,37,186062.36
0,1,2,29,195711.16
0,3,2,39,36692.17
0,3,2,25,106920.57
1,4,1,32,48725.68
0,4,2,26,167036.94
0,9,1,33,68777.26
0,9,2,32,18924.92
1,5,3,38,71905.77
0,8,2,35,64833.28
0,3,2,35,184843.77
0,10,1,27,176730.02
1,1,1,37,20629.4
0,2,1,26,28415.36
0,8,2,28,77231.27
0,1,2,33,102750.7
1,6,1,46,34580.8
0,1,1,31,183598.77
0,8,2,40,147358.27
0,7,1,38,108469.2
0,4,1,29,20612.82
0,6,1,34,181196.76
0,5,2,23,160249.1
0,8,3,37,110783.28
0,9,2,37,144995.33
1,9,2,61,150227.85
0,0,1,35,53718.28
0,7,2,37,75248.3
1,3,1,39,14353.43
0,2,2,30,130486.57
0,9,1,55,100127.71
0,1,1,29,196356.17
0,2,1,41,9983.88
0,4,2,38,118974.77
1,6,1,47,194998.34
1,2,2,38,134901.34
0,8,2,36,72924.56
0,6,2,32,101057.95
0,5,1,40,142838.64
0,8,2,26,127059.04
1,8,1,58,116503.92
0,4,2,32,54405.79
0,5,2,54,88721.84
1,5,1,60,74135.48
0,9,2,44,111346.22
0,4,1,41,194902.16
0,5,2,31,31474.27
0,7,1,30,21198.39
0,6,1,40,186976.6
0,5,2,22,117202.19
0,2,2,37,143739.29
0,10,2,31,161811.23
0,6,2,38,98090.91
0,5,2,34,71095.41
0,6,1,34,13107.24
1,3,1,51,67110.59
0,9,2,38,88225.02
1,10,3,56,62256.87
0,7,2,37,135925.72
1,4,2,48,177815.87
0,6,1,58,126471.13
1,1,1,35,188574.12
0,7,1,56,119175.45
0,5,2,37,139093.73
0,8,1,32,115916.55
0,3,1,48,96463.25
0,2,2,31,112349.51
0,2,2,43,165303.79
0,8,2,26,166031.08
1,3,1,48,38411.79
0,1,1,30,77783.35
0,2,2,57,29871.79
0,4,1,26,59747.63
0,6,1,32,79919.13
0,10,1,35,76773.53
0,7,1,40,54018.93
1,1,1,59,70649.64
0,10,2,35,59093.39
0,9,2,34,127569.8
1,5,3,62,18260.98
1,1,1,28,73275.96
0,8,2,37,136129.49
0,9,2,26,153237.59
0,4,1,42,106841.12
1,0,1,51,109078.35
1,7,3,49,87822.14
0,2,2,44,126644.98
0,0,2,38,47414.15
0,7,2,30,41879.99
0,7,2,49,75808.1
0,1,3,24,47911.03
0,3,2,36,28737.78
1,6,1,47,65412
0,10,1,25,121562.33
0,7,2,34,55003.79
0,3,1,33,193131.42
1,3,3,51,191932.27
0,5,2,40,159418.1
1,3,1,41,191468.78
0,3,2,53,38913.68
0,5,1,70,705.18
0,7,1,29,138490.03
0,1,1,61,82970.69
0,8,1,36,76744.72
1,1,1,46,71244.59
0,6,1,38,12182.15
0,4,2,36,141210.5
1,2,1,54,191763.07
0,1,1,63,37938.74
0,5,2,31,74890.58
0,7,3,31,166698.18
0,1,2,44,62678.53
1,1,1,45,67740.08
0,9,2,35,161519.77
1,10,2,49,159835.78
0,3,1,40,30876.84
0,8,2,27,14858.1
0,3,1,32,75685.97
0,4,2,30,144183.1
0,6,1,41,65170.66
0,2,2,39,82526.92
0,8,2,36,169161.46
1,2,2,33,109291.39
0,3,2,57,6057.81
0,9,1,30,77077.14
1,1,2,51,54954.51
1,2,1,51,179614.8
1,9,1,53,35588.07
0,5,1,44,117356.14
0,1,1,36,160696.72
1,6,2,47,147278.43
1,7,1,38,56594.36
